3.32743,6.12444
4.08664,2.28999
2.72834,0.99243
1.89069,0.58119
1.70595,0.46420
1.65948,0.47429
4.98315,2.72750
9.46208,5.13776
4.49832,2.44493
3.13780,1.23954
3.15154,0.72761
2.43876,0.52199
2.42254,0.31178
18.44016,12.33168
15.46201,7.44077
8.20187,3.59207
5.74259,2.21623
6.08872,1.58827
4.91863,1.21181
5.37342,1.01028
31.42297,17.35850
18.22076,8.06231
11.41775,4.64513
11.49497,3.21160
11.95962,2.70007
11.20297,2.37470
22.22542,9.69722
59.91225,35.59261
39.69469,18.92144
30.76840,13.14917
27.20462,10.52991
29.98550,10.78493
28.96552,10.65778
59.11585,28.46027
90.89401,47.63749
80.55211,40.15133
58.92730,26.71281
57.25646,21.92344
55.24152,21.65211
